City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
62,nabire,-3.3667,135.4833,26.150000000000034,90,100,1.01,ID,2024-04-22
63,port blair,11.6667,92.75,30.670000000000016,65,21,0.99,IN,2024-04-22
64,kencong,-8.2833,113.3667,24.590000000000032,93,98,1.88,ID,2024-04-22
65,shymkent,42.3,69.6,24.33000000000004,57,40,4.0,KZ,2024-04-22
66,carutapera,-1.195,-46.02,26.28000000000003,92,98,1.37,BR,2024-04-22
67,lebu,-37.6167,-73.65,11.25,79,93,6.11,CL,2024-04-22
68,lihue,21.9789,-159.3672,21.77000000000004,76,40,8.23,US,2024-04-22
69,fortuna,40.5982,-124.1573,5.510000000000048,100,0,4.12,US,2024-04-22
70,ribeira brava,32.65,-17.0667,20.620000000000005,51,93,0.86,PT,2024-04-22
71,invercargill,-46.4,168.35,9.450000000000045,82,41,2.24,NZ,2024-04-22
72,talnakh,69.4865,88.3972,-13.769999999999982,87,90,1.5,RU,2024-04-22
73,wedi,-7.7431,110.5794,26.120000000000005,91,85,1.94,ID,2024-04-22
74,georgetown,5.4112,100.3354,32.75,63,20,4.63,MY,2024-04-22
75,bilibino,68.0546,166.4372,-17.319999999999965,91,34,2.07,RU,2024-04-22
76,pogoanele,44.9167,27.0,9.990000000000009,81,100,3.83,RO,2024-04-22
77,south venice,27.0531,-82.4243,23.02000000000004,96,36,6.04,US,2024-04-22
78,enewetak,11.3474,162.3373,27.79000000000002,77,55,8.19,MH,2024-04-22
79,meadow lake,34.8014,-106.5436,12.840000000000032,54,2,3.18,US,2024-04-22
80,egilsstadir,65.2653,-14.3948,8.950000000000045,40,0,3.6,IS,2024-04-22
81,kutum,14.2,24.6667,35.24000000000001,8,27,7.95,SD,2024-04-22
82,blackmans bay,-43.0167,147.3167,13.07000000000005,85,100,0.45,AU,2024-04-22
83,anadyr,64.75,177.4833,-8.71999999999997,66,0,2.0,RU,2024-04-22
84,upper hutt,-41.1383,175.0502,12.620000000000005,89,91,2.24,NZ,2024-04-22
85,ta`u,-14.2336,-169.5144,28.54000000000002,79,32,5.86,AS,2024-04-22
86,thompson,55.7435,-97.8558,-6.909999999999968,68,40,1.03,CA,2024-04-22
87,hawaiian paradise park,19.5933,-154.9731,20.730000000000018,97,100,3.09,US,2024-04-22
88,indi,17.1667,75.9667,38.78000000000003,21,17,3.83,IN,2024-04-22
89,revda,56.801,59.9303,18.890000000000043,47,73,3.14,RU,2024-04-22
90,uturoa,-16.7333,-151.4333,28.220000000000027,74,2,0.8,PF,2024-04-22
91,udachny,66.4167,112.4,1.920000000000016,100,100,0.31,RU,2024-04-22
92,pisco,-13.7,-76.2167,21.120000000000005,84,46,1.73,PE,2024-04-22
93,gadzhiyevo,69.2551,33.3362,-6.859999999999957,66,5,10.3,RU,2024-04-22
94,flin flon,54.7682,-101.865,-1.089999999999975,74,75,3.09,CA,2024-04-22
95,freeport,40.6576,-73.5832,7.770000000000039,59,0,3.09,US,2024-04-22
96,novyy urgal,51.0736,132.5642,10.379999999999995,57,96,3.26,RU,2024-04-22
97,port mathurin,-19.6833,63.4167,26.950000000000045,81,55,6.71,MU,2024-04-22
98,hithadhoo,-0.6,73.0833,29.640000000000043,69,98,0.38,MV,2024-04-22
99,isangel,-19.55,169.2667,26.379999999999995,89,99,3.64,VU,2024-04-22
100,namdrik,5.5994,168.1028,28.379999999999995,84,100,6.84,MH,2024-04-22
101,east london,-33.0153,27.9116,21.52000000000004,83,20,8.23,ZA,2024-04-22
102,qaqortoq,60.7167,-46.0333,-0.5399999999999636,91,99,1.83,GL,2024-04-22
103,praia da vitoria,38.7333,-27.0667,17.640000000000043,77,20,3.0,PT,2024-04-22
104,nuuk,64.1835,-51.7216,3.340000000000032,65,75,11.83,GL,2024-04-22
